name,parent,children,spouse,(half)siblings,grandparent,grandchild,Nephews,uncles,by marriage,cousin
Αγάτσα Αριάδνη,,,,,,,,,,Ακριβάκης Αλέξανδρος
Αλαβάνος Αλέξανδρος,,Αλαβάνος Νικόλαος,,Αλαβάνος Κωνσταντίνος,Αλαβάνος Κωνσταντίνος,,,,,
Αλευράς Αθανάσιος,,,,,,,Αλευράς Ιωάννης,,,
Αναγνωστόπουλος Γεώργιος,,Αναγνωστόπουλος Θεόδωρος,,,Αναγνωστόπουλος Γεώργιος,,,,,
Αναγνωστόπουλος Θεόδωρος,Αναγνωστόπουλος Γεώργιος,,,,,,,,,
Ανδριανόπουλος Ανδρέας,,,,,,,,Ανδριανόπουλος Γεώργιος,,
Ανθόπουλος Ιωάννης,Ανθόπουλος Ευστάθιος,,,,,,,,,
Ανθόπουλος Ευστάθιος,Ανθόπουλος Ιωάννης,,,,,,,,,
Αραμπατζή Φωτεινή,,,Μαγριώτης Ιωάννης,,,,,,,
Αρσένη Μαρία,,Αρσένης Κρίτων-Ηλίας,,,,,,,,
Αρσένης Κρίτων-Ηλίας,Μαρία Αρσένη,,,,,,,,,
Αρσένης Γεράσιμος,,,,,,,,,Κατσέλη Ελεονόρα(Νόρα),
Βαλυράκης Ιωσήφ,Βαλυράκης Ιωάννης,,,,,,,,,
Βαρβιτσιώτης Μιλτιάδης,Βαρβιτσιώτης Ιωάννη,,,,Βαρβιτσιώτης Μιλτιάδης,,,,,
Βαρβιτσιώτης Ιωάννης,Βαρβιτσιώτης Μιλτιάδης,,,,Βαρβιτσιώτης Μιλτιάδης,,,,,
Βολουδάκης Μανούσος-Κωνσταντίνος,Βολουδάκης Γεώργιος,,,,,,,,,
Βολουδάκης Γεώργιος,,Βολουδάκης Μανούσος-Κωνσταντίνος,,,,,,,,
Βορίδης Μαυρουδής,,,Ζωή Ράπτη,,,,,,,
Βουλγαράκης Γεώργιος,,,,,,,,Βουλγαράκης Γεώργιος,,
Βύζας Βασίλειος,,,,,Βύζας Βασίλειος,,,Βύζας Θεμιστοκλής,,
Γεννηματά Φωτεινή,Γεννηματάς Γεώργιος,,,,,,,,,
Γεννηματάς Γεώργιος,,Γεννηματά Φωτεινή,,,,,,,,
Γιαννακόπουλος Ιωάννης,,Γιαννακοπούλου Κωνσταντίνα,,,,,,,,
