0,1,2,3,4,5,6
Πικραμμένος,Όθωνος,Παναγιώτης,,,,
Γεραπετρίτης,Βασιλείου,Γεώργιος,,,,
Θεοδωρικάκος,Δημητρίου,Παναγιώτης,(Τάκης),,,
Ταραντίλης,Δημητρίου,Χρήστος,,,,
Σκυλακάκης,Στεφάνου,Θεόδωρος,,,,
Βασιλικός,Νικολάου,Βασίλειος,(Βασίλης),,,
Αχτσιόγλου,Θεμιστοκλή,Ευτυχία,,,,
Σκουρλέτης,,,Βασιλείου,Παναγιώτης,(Πάνος),
Φλαμπουράρης,Γερασίμου,Αλέξανδρος,,,,
Καμίνης,Βασιλείου,Γεώργιος,,,,
Παπαρήγα,Νικολάου,Αλεξάνδρα,,,,
Βιλιάρδος,Διονυσίου,Βασίλειος,,,,
Κεφαλογιάννη,Ιωάννη,Όλγα,,,,
Κικίλιας,Παναγιώτη,Βασίλειος,,,,
Πλεύρης,Κωνσταντίνου,Αθανάσιος,,,,
Κακλαμάνης,Μιχαήλ,Νικήτας,,,,
Συρίγος,Ματθαίου,Ευάγγελος,(Άγγελος),,,
Πιπιλή,Ανδρέα,Φωτεινή,,,,
Βούτσης,Γεωργίου,Νικόλαος,,,,
Τζανακόπουλος,Μόσχου,Δημήτριος,,,,
Φίλης,,Αριστοτέλη,Νικόλαος,,,
Βερναρδάκης,,Δημοσθένη,Χριστόφορος,,,
Αδαμοπούλου,Αθανασίου,Αγγελική,,,,
Σκανδαλίδης,Γεωργίου,Κωνσταντίνος,,,,
Κανέλλη,Χρήστου,Γαρυφαλλιά,(Λιάνα),,,
Μπογδάνος,Σπυρίδωνος,Κωνσταντίνος,,,,
Χατζηδάκης,Ιωάννη,Κωνσταντίνος,(Κωστής),,,
Γεωργιάδης,Αθανασίου,Σπυρίδων,-,Άδωνις,,
Κεραμέως,Κωνσταντίνου,Νίκη,,,,
Κουμουτσάκος,,Σπυρίδωνος,Γεώργιος,,,
Ρουσόπουλος,Βασιλείου,Θεόδωρος,,,,
Καιρίδης,Κωνσταντίνου,Δημήτριος,,,,
Ράπτη,Γεωργίου,Ζωή,,,,
Τσακαλώτος,Στεφάνου,Ευκλείδης,,,,
Ζαχαριάδης,Εμμανουήλ,Κωνσταντίνος,,,,
Ξενογιαννακοπούλου,Διονυσίου,Μαρία,-,Ελίζα,(Μαριλίζα),
Κατρούγκαλος,Στέλιου,-,Παναγιώτη,Γεώργιος,,
Λοβέρδος,Νικολάου,Ανδρέας,,,,
Παφίλης,Σπυρίδωνος,Αθανάσιος,,,,
Αλεξοπούλου,Κωνσταντίνου,Αναστασία,-,Αικατερίνη,,
Γρηγοριάδης,Γεωργίου,Κλέων,,,,
Μητσοτάκης,Κωνσταντίνου,Κυριάκος,,,,
Βαρβιτσιώτης,Ιωάννη,Μιλτιάδης,,,,
Λοβέρδος,Πέτρου,Ιωάννης,-,Μιχαήλ,(Γιάννης),
Κουρουμπλής,Ελευθερίου,Παναγιώτης,,,,
Δραγασάκης,Ανδρέα,Ιωάννης,,,,
Βίτσας,Αθανασίου,Δημήτριος,,,,
