names
Αγαπηδάκη Ειρήνη Στυλιανού
Σκυλακάκης Θεόδωρος Στεφάνου
Στυλιανίδης Χρήστος Μέλη
Λυτρίβη Ιωάννα Δημητρίου
Σταμάτης Γεώργιος Αναστασίου
Χατζηιωαννίδου Μαρία Νεφέλη Βασιλείου
Πολύζου Μαρία Αθανασίου
Ηλιόπουλος Όθων Σταύρου
Ακρίτα Έλενα Λουκή
Αποστολάκης Ευάγγελος Ευαγγέλου
Τσαπανίδου Παρθένα (Πόπη) Γεωργίου
Δουδωνής Παναγιώτης Αριστείδη
Μάντζος Δημήτριος Σωτηρίου
Παφίλης Αθανάσιος Σπυρίδωνα
Σαράκης Παύλος Κωνσταντίνου
Πιερρακάκης Κυριάκος Στεφάνου
Κικίλιας Βασίλειος Παναγιώτη
Κεφαλογιάννη Όλγα Ιωάννη
Πλεύρης Αθανάσιος Κωνσταντίνου
Κακλαμάνης Νικήτας Μιχαήλ
Συρίγος Ευάγγελος (Άγγελος) Ματθαίου
Πιπιλή Φωτεινή Ανδρέα
Ηλιόπουλος Αθανάσιος (Νάσος) Κωνσταντίνου
Τζανακόπουλος Δημήτριος Μόσχου
Βούτσης Νικόλαος Γεωργίου
Γερουλάνος Παύλος Μαρίνου
Κανέλλη Γαρυφαλλιά (Λιάνα) Χρήστου
Γραμμένος Βασίλειος Αναστασίου
Χατζηδάκης Κωνσταντίνος (Κωστής) Ιωάννη
Γεωργιάδης Σπυρίδων ΆδωνιςΑθανασίου
Κεραμέως Νίκη Κωνσταντίνου
Καιρίδης Δημήτριος Κωνσταντίνου
Ράπτη Ζωή Γεωργίου
ΡουσόπουλοςΘεόδωρος (Θόδωρος) Βασιλείου
Παπαθανάσης Νικόλαος (Νίκος) Χρήστου
Κουμουτσάκος Γεώργιος Σπυρίδωνος
Αγάτσα Αριάδνη (Άρια) Αριστείδη
Λινού Αθηνά Κωνσταντίνου
Τσακαλώτος ΕυκλείδηςΣτέφανου
Ξενογιαννακοπούλου Μαρία Ελίζα (Μαριλίζα) Διονυσίου
ΑποστολάκηΕλένη Μαρία (Μιλένα) Γεωργίου
Κτενά Αφροδίτη Θεοφύλακτου
Ρίτσου Ελευθερία (Έρη) Ιωάννη
Βιλιάρδος Βασίλειος Διονυσίου
Χρυσοχοΐδης ΜιχαήλΒασιλείου
ΒαρβιτσιώτηςΜιλτιάδηςΙωάννη
Λοβέρδος Ιωάννης Μιχαήλ (Γιάννης) Πέτρου
Συρεγγέλα Μαρία Κωνσταντίνου
Καλογερόπουλος Δημήτριος Ιωάννη
Αχτσιόγλου Ευτυχία (Έφη) Θεμιστοκλή
Δούρου Ειρήνη (Ρένα) Αθανασίου
ΔραγασάκηςΙωάννης Ανδρέα
Γιαννακοπούλου Κωνσταντίνα (Νάντια) Ιωάννη
Δάγκα Παρασκευή (Βιβή) Αθανασίου
Πέρρος Γεώργιος Εμμανουήλ
Αθανασίου Μαρία Ευαγγέλου
ΔένδιαςΝικόλαος ΓεώργιοςΣπυρίδωνα
Θεοδωρικάκος Παναγιώτης (Τάκης) Δημητρίου
Κυρανάκης Κωνσταντίνος Ιωάννη Παναγιώτη
Σπανάκης Βασίλειος Πέτρος Νικολάου
Χατζηδάκης Διονύσιος Διονυσίου
Θεοχάρης Θεοχάρης (Χάρης) Αθανασίου
Καλλιάνος Ιωάννης Δημητρίου
Καραμανλή ΆνναΑρκαδίου
ΒούλτεψηΣοφίαΙωάννη
Γαϊτάνης Αναστάσιος (Τάσος) Δημητρίου
Γκελεστάθη Ιωάννα Νικολάου
Παππάς Νικόλαος Στυλιανού
Χρηστίδου Ραλλία Δημητρίου
ΦωτίουΘεανώ Βασιλείου
Μουζάλας Ιωάννης Ευστρατίου
Χρηστίδης Παύλος Δημητρίου
Διγενή Ασημίνα (Σεμίνα) Αναστασίου
Κατσώτης Χρήστος Περικλή
Αγιοστρατίδου Νίκη Χρήστου
Κατσαφάδος Κωνσταντίνος Ιωάννη
Μιχαηλίδου Δόμνα Μαρία Αριστείδη
Βλαχάκος Νικόλαος Αντωνίου
Τσίπρας Αλέξιος Παύλου
Αμπατιέλος Νικόλαος Γερασίμου
Βρεττάκος Γεώργιος Δρακούλη
Λιβανός Μιχαήλ Ιωάννη
Μαρκόπουλος Δημήτριος Κωνσταντίνου
Κασιμάτη Ειρήνη (Νίνα) Γεωργίου
Ραγκούσης Ιωάννης Νικολάου
Διαμαντίδης Δημήτριος Ιωάννη
Μανωλάκου Διαμάντω Εμμανουήλ
Ασημακοπούλου Σοφία Χάιδω Δημητρίου
Ζαχαράκη Σοφία Ηλία
Βορίδης Μαυρουδής (Μάκης) Χρήστου
Πέτσας Στυλιανός (Στέλιος) Λεωνίδα
ΒλάχοςΓεώργιοςΘεοδώρου
ΟικονόμουΒασίλειοςΑθανασίου
Κόλλια Βασιλική (Βάσω) Σταματίου
Κατσανδρή Αικατερίνη Γεωργίου
Καραμέρος Γεώργιος Παναγιώτη
Σπίρτζης Χρήστος Παναγιώτη
Χριστοδουλάκης Εμμανουήλ (Μανώλης) Ανέστη
Γκιόκας Ιωάννης Χρήστου
Φωτόπουλος Στυλιανός Θεοδώρου
Κώτσηρας Γεώργιος Αναστασίου
ΜπούραςΑθανάσιοςΚωνσταντίνου
Τσίπρας Γεώργιος Ηρακλή
Τσοκάνης Χρήστος Νικολάου
Σαλμάς Μάριος Γεωργίου
Καραγκούνης Κωνσταντίνος Ανδρέα
Παπαθανάσης Αθανάσιος Δαμιανού
Ζαμπάρας Μιλτιάδης (Μίλτος) Γεωργίου
Θεοδωράκης Γρηγόριος Νικολάου
Σταρακά Χριστίνα Δημητρίου
Παπαναστάσης Νικόλαος Αθανασίου
Ανδριανός Ιωάννης Σωτηρίου
Γαβρήλος Γεώργιος Νικολάου
Πουλάς Ανδρέας Θεοδοσίου
Βλάσης Κωνσταντίνος Γεωργίου
Παπαηλιού Γεώργιος Ηλία
Κωνσταντινόπουλος Οδυσσέας Κωνσταντίνου
Στύλιος Γεώργιος Δημοσθένη
Γεροβασίλη Όλγα Βασιλείου
Αλεξοπούλου Χριστίνα Μιχαήλ
Κατσανιώτης Ανδρέας Ιωάννη
Φωτήλας Ιάσωνας Ασημάκη
Αναγνωστοπούλου Αθανασία (Σία) Πέτρου
Παναγιωτόπουλος Ανδρέας Αντωνίου
Κυριακόπουλος Γεώργιος Άγγελου
ΠαπανδρέουΓεώργιοςΑνδρέα
Καραθανασόπουλος Νικόλαος Πέτρου
ΛαΪνιώτης Ιωάννης Συμεών
Κτιστάκης Ελευθέριος Νικολάου
Πούλου Παναγιού (Γιώτα) Λεωνίδα
Μουλκιώτης Γεώργιος Βασιλείου
Γιάτσιος Ιωάννης Νικολάου
Κυριαζίδης Δημήτριος Τριαντάφυλλου
Ξανθόπουλος Θεόφιλος Σάββα
Νικολαϊδης Αναστάσιος (Τάσος) Γεωργίου
Παππάς Ιωάννης Κωνσταντίνου
Κόνσολας Εμμανουήλ Νικία
Ιατρίδη Τσαμπίκα (Μίκα) Ιωάννη
Καραγιάννη Χρυσούλα (Χρύσα) Σάββα
Νικητιάδης Γεώργιος Νικολάου
Δερμεντζόπουλος Χρήστος Αλεξάνδρου
Κελέτσης Σταύρος Δημητρίου
Μαλτέζος Μενέλαος Φωτεινού
Παπαδάκης Παράσχος Χρήστου
Ζεμπίλης Αθανάσιος Γεωργίου
Κεδίκογλου Συμεών (Σίμος) Βασιλείου
Κεδίκογλου Συμεών Άγγελου
Καζάνη Αικατερίνη Νικολάου
Μαρίνος Γεώργιος Βασιλείου
Αρμόνης Βασίλειος Νικολάου
Οικονόμου Θωμαΐς (Τζίνα) Γεωργίου
Ακτύπης Διονύσιος Δημητρίου
Νικολακόπουλος Ανδρέας Θεοδώρου
Αυγερινοπούλου Διονυσία Ζήσιμου
ΑβραμόπουλοςΔημήτριοςΛάμπρου
Καλαματιανός Διονύσιος Χαράλαμπος Χρήστου
Κατρίνης Μιχαήλ Ιωάννη
Βεσυρόπουλος Απόστολος Φωτίου
Μπαρτζώκας Αναστάσιος Στεργίου
Τόλκας Άγγελος Χαράλαμπου
Κοτίδης Βασίλειος Στυλιανού
Αυγενάκης Ελευθέριος Κωνσταντίνου
Κεφαλογιάννης Κωνσταντίνος Βασιλείου
Σενετάκης Μάξιμος Γεωργίου
Μαμουλάκης Χαράλαμπος (Χάρης) Αντωνίου
Βαρδάκης Σωκράτης Δημητρίου
ΒατσινάΕλένη Φανουρίου
Παρασύρης Φραγκίσκος (Φρέντυ) Γεωργίου
Συντυχάκης Εμμανουήλ Δανιήλ
Γιόγιακας Βασίλειος Νικολάου
Μητσοτάκης ΚυριάκοςΚωνσταντίνου
Καλαφάτης Σταύρος Αθανασίου
Γκιουλέκας Κωνσταντίνος Πέτρου
Ράπτη Ελένη Δημητρίου
Ευθυμίου Άννα Ταξιάρχη
Κούβελας Δημήτριος Σωτηρίου
Σιμόπουλος Ευστράτιος (Στράτος) Γεωργίου
Γκολιδάκης Διαμαντής Μιχαήλ
Βενιέρης Βελόπουλος Δημήτριος Ιωσήφ
Νοτοπούλου Αικατερίνη (Κατερίνα) Παναγιώτη
Θρασκιά Ουρανία (Ράνια) Κωνσταντίνου
Γιαννούλης Χρήστος Ιωάννη
Αμανατίδης Ιωάννης Γεωργίου
Ανδρουλάκης Νικόλαος Μαρίνου
Δελής Ιωάννης Ιωάννη
Κουπελόγλου Συμεών Σάββα
Παναγιωτίδης Χαράλαμπος Παύλου
Βαρτζόπουλος Δημήτριος Χρυσόστομου
Καράογλου Θεόδωρος Γεωργίου
Παπάς Θεοφάνης (Φάνης) Αστερίου
Αναστασιάδης Σάββας Ιωάννη
Φάμελλος Σωκράτης Πέτρου
Αυγέρη Θεοδώρα (Δώρα) Πέτρου
Γλαβίνας Αθανάσιος Ιωάννη
Στολτίδης Λεωνίδας Δημητρίου
Χήτας Κωνσταντίνος Αχιλλέως
Τασούλας Κωνσταντίνος Αν.
Τζούφη Μερόπη Στεφάνου
Στέφος Ιωάννης Θεοδώρου
Τσίμαρης Ιωάννης Παναγιώτη
Έξαρχος Νικόλαος(Πάκος) Θεοφάνη
Παναγιωτόπουλος Νικόλαος Ιωάννη
Πασχαλίδης Ιωάννης Αδάμ
Λαζαρίδης Μακάριος Βασιλείου
Ελευθεριάδου Σουλτάνα (Τάνια) Παύλου
Τσιάρας Κωνσταντίνος Αλεξάνδρου
Κωτσός Γεώργιος Κωνσταντίνου
Μιχαλάκης Νικόλαος Ηλία
Παπαγεωργίου Σωτήριος Δημητρίου
Αντωνίου Μαρία Βασιλείου
Γκίκας Στέφανος Σωτηρίου
Αυλωνίτης Αλέξανδρος Χρήστος Νικολάου
Μπιάγκης Δημήτριος Σπυρίδωνος
Καππάτος Παναγής Σπυρίδωνος Διονυσίου
Γεωργαντάς Γεώργιος Παύλου
Παππάς Πέτρος Μιχαήλ
Παραστατίδης Στέφανος Θεοδώρου
Κωνσταντινίδης Ευστάθιος Κωνσταντίνου
Βέττα Καλλιόπη Δημητρίου
Κουκουλόπουλος Παρασκευάς (Πάρις) Δημητρίου
Κουζιάκη Θεοδώρα Ματίνα (Τίνα) Παναγιώτη
Δήμας Χρίστος Σταύρου
Ταγαράς Νικόλαος Χρήστου
Ψυχογιός Γεώργιος Κωνσταντίνου
Ταγαρά Αικατερίνη Ιωάννη
Βρούτσης Ιωάννης Βασιλείου
Μονογυιού Αικατερίνη Μιχαήλ
Φόρτωμας Φίλιππος Αριστοτέλη
Συρμαλένιος Νικόλαος Ευαγγέλου
Κρητικός Νεοκλής Δημοσθένη
Δαβάκης Αθανάσιος Παναγιώτη
Γρηγοράκου Παναγιώτα (Νάγια) Λεωνίδα
Κέλλας Χρήστος Αχιλλέα
Καπετάνος Χρήστος Δημητρίου
Χαρακόπουλος Μάξιμος Παντελή
Κόκκαλης Βασίλειος Κωνσταντίνου
Καριπίδης Ιωάννης Κωνσταντίνου
Λιακούλη Ευαγγελία Θεοφάνη
Λαμπρούλης Γεώργιος Αριστείδη
Βελόπουλος Κυριάκος Ιωσήφ
Πλακιωτάκης Ιωάννης Ιωσήφ
Σπυριδάκη Αικατερίνη (Κατερίνα) Νικολάου
ΑθανασίουΧαράλαμποςΧριστόφα
Μπουρνούς Ιωάννης Δημητρίου
Παρασκευαΐδης Παναγιώτης Χαριλάου
Καββαδάς Αθανάσιος Ιωάννη
Τριαντόπουλος Χρήστος Γεωργίου
Μακρή Ζωή (Ζέττα) Μιχαήλ
Μπουκώρος Χρήστος Γεωργίου
Μεϊκόπουλος Αλέξανδρος Μιχαήλ
Μεταξάς Κωνσταντίνος Βασίλειος Δημητρίου
Σαμαράς Αντώνιος Κωνσταντίνου
Χρυσομάλλης Μιλτιάδης (Μίλτος) Παναγιώτη
Χαρίτσης Αλέξανδρος (Αλέξης) Βύρωνα
Αδαμόπουλος Παναγιώτης Δημητρίου
Κουτουμάνος Νικόλαος Σαράντου
Τσιλιγγίρης Σπυρίδων (Σπύρος) Γεωργίου
Ζεϊμπέκ Χουσεΐν Χασάν
Μπαράν Μπουρχάν Νετζαντή
Βασιλειάδης Βασίλειος (Λάκης) Νικολάου
Σταμενίτης Διονύσιος Ευαγγέλου
ΤζάκρηΘεοδώραΕμμανουήλ
Αλεξανδρίδου Ραχήλ Νικολάου
Μπαραλιάκος Ξενοφών (Φώντας) Ελευθερίου
Μάνη Παπαδημητρίου Άννα Ευαγγέλου
Κουλκουδίνας Σπυρίδων Ευριπίδη
Γκούνας Αθανάσιος (Σάκης) Σωτηρίου
Κυριάκης Σπυρίδων Γεωργίου
Μπάρκας Κωνσταντίνος Θεοφάνη
Κεφαλογιάννης Ιωάννης Αχιλλέα
Χνάρης Εμμανουήλ Ιωάννη
Στυλιανίδης Ευριπίδης Στυλιανού
Φερχάτ Οζγκιούρ Ναζήφ
ΑχμέτΙλχάνΣαμπρή
Στεφανάδης Χριστόδουλος Ισιδώρου
Καραμανλής Κωνσταντίνος Αχιλλέα
Χατζηβασιλείου Αναστάσιος (Τάσος) Γεωργίου
Καρπουχτσής Κωνσταντίνος Ηλία
Τζελέπης Μιχαήλ Γεωργίου
Μπούμπας Κωνσταντίνος Ιωάννη
Σκρέκας Κωνσταντίνος Θεοδώρου
Κοντοτόλη Μαρίνα Γεωργίου
Οικονόμου Γεώργιος Χρήστου
Κανταρτζής Αχιλλέας Κλεομένη
Σταϊκούρας Χρήστος Κωνσταντίνου
Σαρακιώτης Ιωάννης Αθανασίου
Τσώνης Νικόλαος Αθανασίου
Κουτσούμπας Δημήτριος Αποστόλου
ΠαπασωτηρίουΣταύρος Γεωργίου
Πέρκα Θεοπίστη (Πέτη) Χαράλαμπου
Μπούγας Ιωάννης Δημητρίου
Γιώργος Ιωάννης Αγγελή
Μάλαμα Κυριακή Ιωάννη
Πάνας Απόστολος Νικολάου
ΜπακογιάννηΘεοδώρα (Ντόρα) Κωνσταντίνου
Βολουδάκη Σεβαστή (Σέβη) Αναστασίου
Πολάκης Παύλος Πέτρου
Μαρινάκης Αλέξανδρος Κωνσταντίνου
Μηταράκης Παναγιώτης (Νότης) Αντωνίου
Μιχαηλίδης Σταύρος Γ.
Πικραμμένος Παναγιώτης Όθωνος
Γεραπετρίτης Γεώργιος Βασιλείου
Ταραντίλης Χρήστος Δημητρίου
Βασιλικός Βασίλειος (Βασίλης) Νικολάου
ΣκουρλέτηςΠαναγιώτης (Πάνος)Βασιλείου
Φλαμπουράρης Αλέξανδρος Γερασίμου
Καμίνης Γεώργιος Βασιλείου
Παπαρήγα Αλεξάνδρα Νικολάου
Μπογδάνος Κωνσταντίνος Σπυρίδωνος
ΦίληςΝικόλαος Αριστοτέλη
ΒερναρδάκηςΧριστόφοροςΔημοσθένη
Σκανδαλίδης Κωνσταντίνος Γεωργίου
Αδαμοπούλου Αγγελική Αθανασίου
Ζαχαριάδης Κωνσταντίνος Εμμανουήλ
