last_name,first_name,father_name,little_name,nan,none,no
Πικραμμένος,Παναγιώτης,Όθωνος,,,,
Γεραπετρίτης,Γεώργιος ,Βασιλείου,,,,
Θεοδωρικάκος,Παναγιώτης,Δημητρίου,(Τάκης),,,
Ταραντίλης,Χρήστος,Δημητρίου,,,,
Σκυλακάκης,Θεόδωρος,Στεφάνου,,,,
Βασιλικός,Βασίλειος,Νικολάου,(Βασίλης),,,
Αχτσιόγλου,Ευτυχία,Θεμιστοκλή,,,,
Σκουρλέτης,Παναγιώτης ,Βασιλείου,(Πάνος),,,
Φλαμπουράρης,Αλεξάνδρου,Γερασίμου,,,,
Καμίνης,Γεώργιος,Βασιλείου,,,,
Παπαρήγα,Αλεξάνδρα,Νικολάου,,,,
Βιλιάρδος,Βασίλειος,Διονυσίου,,,,
Κεφαλογιάννη,Όλγα,Ιωάννη,,,,
Κικίλιας,Βασίλειος,Παναγιώτη,,,,
Πλεύρης,Αθανάσιος,Κωνσταντίνου,,,,
Κακλαμάνης,Νικήτας,Μιχαήλ,,,,
Συρίγος,Ευάγγελος,Ματθαίου,(Άγγελος),,,
Πιπιλή,Φωτείνη,Ανδρέα,,,,
Βούτσης,Νικόλαος,Γεωργίου,,,,
Τζανακόπουλος,Δημήτριος,Μόσχου,,,,
Φίλης,Νικόλαος,Αριστοτέλη,,,,
Βερναρδάκης,Χριστόφορος,Δημοσθένη,,,,
Αδαμοπούλου,Αγγελική,Αθανασίου,,,,
Σκανδαλίδης,Κωνσταντίνος,Γεωργίου,,,,
Κανέλλη,Γαρυφαλλιά,Χρήστου,(Λιάνα),,,
Μπογδάνος,Κωνσταντίνος,Σπυρίδωνος,,,,
Χατζηδάκης,Κωνσταντίνος,Ιωάννη,(Κωστής),,,
Γεωργιάδης,Άδωνις- Σπυρίδων,Αθανασίου,,,,
Κεραμέως,Νίκη,Κωνσταντίνου,,,,
Κουμουτσάκος,Γεώργιος,Σπυρίδωνος,,,,
Ρουσόπουλος,Θεόδωρος,Βασιλείου,,,,
Καιρίδης,Δημήτριος,Κωνσταντίνου,,,,
Ράπτη,Ζωή,Γεωργίου,,,,
Τσακαλώτος,Ευκλείδης,Στεφάνου,,,,
Ζαχαριάδης,Κωνσταντίνος,Εμμανουήλ,,,,
Ξενογιαννακοπούλου,Μαρία-Ελίζα,Διονυσίου,(Μαριλίζα),,,
Κατρούγκαλος,Γεώργιος,Στέλιου-Παναγιώτη,,,,
Λοβέρδος,Ανδρέας,Νικολάου,,,,
Παφίλης,Αθανάσιος,Σπυρίδωνος,,,,
Αλεξοπούλου,Αναστασία-Αικατερίνη,Κωνσταντίνου,,,,
Γρηγοριάδης,Κλέων,Γεωργίου,,,,
Μητσοτάκης,Κυριάκος,Κωνσταντίνου,,,,
Βαρβιτσιώτης,Μιλτιάδης,Ιωάννου,,,,
Λοβέρδος,Ιωάννης-Μιχαήλ,Πέτρου,(Γιάννης),,,
Κουρουμπλής,Παναγιωτης,Ελευθερίου,,,,
Δραγασάκης,Ιωάννης,Ανδρέα,,,,
Βίτσας,Δημήτριος,Αθανασίου,,,,
Καφαντάρη,Χαρούλα,Φωτίου,(Χαρά),,,
Γιαννακοπούλου,Κωνσταντίνα,Ιωάννη,(Νάντια),,,
Κουτσούμπας,Δημήτριος,Αποστόλου,,,,
Αθανασίου,Μαρίου,Ευαγγέλου,,,,
Αρσένης,Κρίτων-Ηλίας,Δημοκράτη,,,,
Δένδιας,Νικόλαος-Γεώργιος,Σπυρίδωνις,,,,
Κυρανάκης,Κωνσταντίνος,Παναγιώτη-Ιωάννη,,,,
Χατζηδάκης,Διονύσιος,Διονυσίου,,,,
Θεοχάρης,Θεοχάρης,Αθανασίου,(Χάρης),,,
Καραμανλή,Άννα,Αρκαδίου,,,,
Βούλτεψη,Σοφία,Ιωάννη,,,,
Παπαδημητρίου,Χαράλαμπος,Αθανασίου,(Μπάμπης),,,
Καλλιάνος,Ιωάννης,Δημητρίου,,,,
Σπανάκης,Βασίλειος-Πέτρος,Νικολάου,,,,
Παππάς,Νικόλαος,Στυλιανού,,,,
Φωτίου,Θεανώ,Βασιλείου,,,,
Μουζάλας,Ιωάννης ,Ευστρατίου,,,,
Μπαλάφας,Ιωάννης,Περικλή,,,,
Χρηστίδου,Ράλλια ,Δημητρίου,,,,
Αντωνίου,Αντωνία,Νικολάου,(Τόνια),,,
Κατσώτης,Χρήστος,Περικλή,,,,
Βαγενάς,Δημήτριος,Κωνσταντίνου,,,,
Σακοράφα,Σοφία,Ηλία,,,,
