id, label
(Αθηνά Μεθενίτη), Α. Μεθενίτη
(Αλεξάνδρα Βλάσση-Θεοδωρικάκου), Α. Βλάσση Θεοδωρίκου"
(Ιωάννης Πιπίλης), Ι.Πιπίλης"
Αβέρωφ Ιωάννης, Ι.Αβέρωφ"
Αβέρωφ-Τοσίτσας  Ευάγγελος, Ε.Αφέρωφ-Τοσίτσας"
Αγάτσα Αριάδνη, Α.Αγάτσα"
Αθανάσιος Χειμάρας, Α.Χειμάρας"
Ακριβάκης Αλέξανδρος, Α.Ακριβάκης"
Αλαβάνος Αλέξανδρος, Α.Αλέξανδρος"
Αλαβάνος Κωνσταντίνος*, Κ. Αλαβάνος*"
Αλαβάνος Κωνσταντίνος, Κ. Αλαβάνος"
Αλαβάνος Νικόλαος, Ν. Αλαβάνος"
Αλέξης Τσίπρας, Α.Τσίπρας "
Αλευράς Αθανάσιος, Α.Αλευράς"
Αλευράς Ιωάννης, Ι.Αλευράς"
Αναγνωστόπουλος Γεώργιος*,Γ.Αναγνωστόπουλος*"
Αναγνωστόπουλος Γεώργιος, Γ.Αναγνωστόπουλος"
Αναγνωστόπουλος Θεόδωρος, Θ.Αναγνωστόπουλος"
Ανδριανόπουλος Ανδρέας, Α. Ανδριανόπουλος"
Ανδριανόπουλος Γεώργιος, Γ.Ανδριανόπουλος"
Ανθόπουλος Ευστάθιος, Ε.Ανθόπουλος"
Ανθόπουλος Ευστάθιος, Ε.Ανθόπουλος"
Ανθόπουλος Ιωάννης, Ι.Ανθόπουλος"
Αραμπατζή Φωτεινή, Φ.Αραμπατζή"
Αρσένη Μαρία, Μ.Αρσένη"
Αρσένης Γεράσιμος, Γ.Αρσένης"
Αρσένης Κρίτων-Ηλίας, Κ.Η.Αρσένης"
Βαλυράκης Ιωάννης, Ι.Βαλυράκης"
Βαλυράκης Ιωσήφ, Ι.Βαλυράκης"
Βαρβιτσιώτης Ιωάννης, Ι.Βαρβιτσιώτης"
Βαρβιτσιώτης Μιλτιάδης*, Μ.Βαρβιτσιώτης*"
Βαρβιτσιώτης Μιλτιάδης, Μ.Βαρβιτσιώτης"
Βαρδινογιάννης Παύλος, Π.Βαρδινογιάννης"
Βολουδάκης Γεώργιος, Γ.Βολουδάκης"
Βολουδάκης Μανούσος-Κωνσταντίνος, Μ.Κ.Βολουδάκης"
Βορίδης Μαυρουδής, Μ.Βορίδης"
Βουλγαράκης Γεώργιος ΙΙ, Γ.ΙΙ Βουλγαράκης"
Βουλγαράκης Γεώργιος, Γ.Βουλγαράκης"
Βύζας Βασίλειος*, Β.Βύζας*"
Βύζας Βασίλειος, Β.Βύζας"
Βύζας Θεμιστοκλής, Θ.Βύζας"
Γεννηματά Φωτεινή, Φ.Γεννηματά"
Γεννηματάς Γεώργιος, Γ.Γεννηματάς"
Γιαννακόπουλος Ιωάννης, Ι.Γιαννακόπουλος"
Γιαννακοπούλου Κωνσταντίνα. Κ.Γιαννακοπούλου
Γιαννόπουλος Ευάγγελος, Ε.Γιαννόπουλος"
Γιαννοπούλου-Τεγοπούλου Κωνσταντίνα, Κ.Γιαννοπούλου-Τεγοπούλου"
Γικόνογλου Αθανάσιος, Α.Γικόνογλου"
Γικόνογλου Μόσχος, Μ.Γικόνογλου"
Γιώργος Τσίπρας, Γ.Τσίπρας"
Γκαλήπ Γκαλήπ, Γ.Γκαλήπ"
Γκαλίπ Σαμπαχεδίν Αλή Χαζιβαχούζ, Σ.Α.Χ.Γκαλίπ"
Γκελεστάθης Αθανάσιος, Α.Γκελεστάθης"
Γκελεστάθης Νικόλαος, Ν.Γκελεστάθης"
Γόντικας Δημήτριος, Δ.Γόντικας"
Γρηγόρης Δημητριάδης Κώστας Μπακογιάννης, Κ.Μπακογιάννης,"
Δερμεντζόπουλος Αλέξανδρος, Α.Δερμεντζόπουλος"
Δερμεντζόπουλος Χρήστος, Χ.Δερμεντζόπουλος"
Δήμας Σταύρος, Σ.Δήμας"
Δημάς Χρήστος, Χ.Δημάς"
Δημητρακόπουλος Αθανάσιος, Α.Δημητρακόπουλος"
Διαμαντίδης Δημήτριος, Δ.Διαμαντίδης"
Διαμαντίδης Ιωάννης, Ι.Διαμαντίδης"
Δούκας Πέτρος, Π. Δούκας"
Έβερτ Μιλτιάδης, Μ.Εβερτ"
Ελευθέριος Βενιζέλος, Ε.Βενιζέλος"
Ευάγγελος Αβέρωφ - Τοσίτσας, Ε.Αβέρωφ - Τοσίτσας"
Ζάννας Αλέξανδρος, Α.Ζάννας"
Ζαρούλια Ελένη, Ε. Ζαρούλια"
Ζεϊμπέκ Τσελάλ, Τ.Ζεϊμπέκ"
Ζεϊμπέκ Χουσεϊν*, Χ.Ζεϊμπέκ*"
Ζεϊμπέκ Χουσεϊν, Χ.Ζεϊμπέκ"
Ζωή Ράπτη, Ζ.Ράπτη"
Θεοδωρικάκος Παναγιώτης, Π.Θεοδωρικάκος"
Θωμάς Παπαδημητρίου, Θ.Παπαδημητρίου,"
Ιωάννου Χρήστος, Χ.Ιωάννου"
Καλαντζάκος Αριστείδης, Α.Καλαντζάκος"
Καλαντζάκου Σοφία, Σ.Καλαντζάκου"
Καλαντζής Γεώργιος, Γ.Καλαντζής"
Καλογήρου Δούκας, Δ. Καλογήρου"
Καλογήρου Χριστιάνα, Χ.Καλογήρου"
Καλογιάννης Ελευθέριος, Ε.Καλογιάννης"
Καλογιάννης Σταύρος, Σ.Καλογιάννης"
Κανελλόπουλος Αθανάσιος, Α.Κανελλόπουλος"
Κανελλοπούλου Κρινιώ, Κ.Κανελλοπούλου"
Καραγκούνης Ανδρέας, Α.Καραγκούνης"
Καραγκούνης Κωνσταντίνος, Κ.Καραγκούνης"
Καραμανλής Αχιλλέας, Α.Καραμανλής"
Καραμανλή Όλγα, Ο.Καραμανλή"
Καραμανλής Κωνσταντίνος*, Κ.Καραμανλής*"
Καραμανλής Κώστας, Κ.Καραμανλής"
Καραμανλής Κωνσταντίνος, Κ.Καραμανλής"
Καρύδη Χρυσή, Χ.Καρύδη"
Καστανίδης Γεώργιος, Γ.Καστανίδης"
Καστανίδης Χαράλαμπος, Χ.Καστανίδης"
Κατριβάνος Ηλίας, Η. Κατριβάνος"
Κατριβάνος Χρήστος, Χ.Κατριβάνος"
Κατριβάνου Βασιλική, Β.Κατριβάνου"
Κατσανέβας Θεόδωρος, Θ.Κατσανέβας"
Κατσέλη Ελεονόρα(Νόρα), Ε. Κατσέλη"
Κατσέλη Λουκία(Λούκα), Λ.Κατσέλη"
Κατσίγιαννης Αθανάσιος, Α.Κατσίγιαννης"
Κατσίγιαννης Χρήστος, Χ.Κατσίγιαννης"
Κατσιφάρας Απόστολος, Α. Κατσιφάρας"
Κατσιφάρας Γεώργιος, Γ.Κατσιφάρας"
Καφαντάρη Ευθαλία, Ε.Καφαντάρη"
Καφαντάρη Χαρούλα, Χ.Καφαντάρη"
Κεδίκογλου Βασίλειος, Β.Κεδίκογλου"
Κεδίκογλου Συμεών,Σ.Κεδίκογλου"
Κεδίκογλου Συμεών(Σίμος), Σ.Κεδίκογλου"
Κεφαλίδη Χαρούλα(Χαρά), Χ.Κεφαλίδη"
Κεφαλίδης Δημήτριος, Δ.Κεφαλίδης"
Κεφαλίδου Χαρούλα, Χ.Κεφαλίδου"
Κεφαλογιάννη Όλγα, Ο.Κεφαλογιάννη"
Κεφαλογιάννης Εμμανουήλ, Ε.Κεφαλογιάννης"
Κεφαλογιάννης Εμμανουήλ ΙΙ, Ε.ΙΙ Κεφαλογιάννης"
Κεφαλογιάννης Ιωάννης ΙΙ, Ι.ΙΙ Κεφαλογιάννης"
Κεφαλογιάννης Ιωάννης, Ι.Κεφαλογιάννης"
Κοντογιαννόπουλος Βασίλειος, Β.Κοντογιαννόπουλος"
Κοντογιαννόπουλος Νικόλαος, Ν.Κοντογιαννόπουλος"
Κωνσταντίνος Ζέρβας, Κ.Ζέρβας"
Κωνσταντόπουλος Νικόλαος, Ν.Κωνσταντόπουλος"
Κωνσταντοπούλου Ζωή, Ζ.Κωνσταντοπούλου"
Λιάπης Μιχαήλ, Μ.Λιάπης"
Λιάπης Μιχάλης, Μ.Λιάπης"
Λιβανός Διονύσιος, Δ.Λιβανός"
Λιβανός Σπυρίδωνας-Παναγιώτης, Σ.Π.Λιβανός"
Λυκουρέζος Αλέξανδρος, Α.Λυκουρέζος"
Λυκουρέζος Κωνσταντίνος, Κ.Λυκουρέζος"
