Source,Target,Type,Party
Θεοδωρικάκος Παναγιώτης,(Αλεξάνδρα Βλάσση-Θεοδωρικάκου),parent,ND
Χειμάρας Θεμιστοκλής,Αθανάσιος Χειμάρας,parent,ND
Αναγνωστόπουλος Θεόδωρος,Αναγνωστόπουλος Γεώργιος*,parent,ND
Ανθόπουλος Ιωάννης,Ανθόπουλος Ευστάθιος,parent,PASOK
Ανθόπουλος Ευστάθιος,Ανθόπουλος Ιωάννης,parent,PASOK
Βαλυράκης Ιωσήφ,Βαλυράκης Ιωάννης,parent,PASOK
Βαρβιτσιώτης Μιλτιάδης,Βαρβιτσιώτης Ιωάννη,parent,ND
Βαρβιτσιώτης Ιωάννης,Βαρβιτσιώτης Μιλτιάδης*,parent,ND
Βολουδάκης Μανούσος-Κωνσταντίνος,Βολουδάκης Γεώργιος,parent,ND
Γεννηματά Φωτεινή,Γεννηματάς Γεώργιος,parent,PASOK
Γιαννακοπούλου Κωνσταντίνα,Γιαννακόπουλος Ιωάννης,parent,PASOK
Γκαλήπ Γκαλήπ,Γκαλίπ Σαμπαχεδίν Αλή Χαζιβαχούζ,parent,PASOK
Δερμεντζόπουλος Χρήστος,Δερμεντζόπουλος Αλέξανδρος,parent,ND
Δήμας Χρήστος,Δήμας Σταύρος,parent,ND
Διαμαντίδης Ιωάννης,Διαμαντίδης Δημήτριος,parent,PASOK
Διαμαντίδης Δημήτριος,Διαμαντίδης Ιωάννης,parent,PASOK
Καλαντζάκου Σοφία,Καλαντζάκος Αριστείδης,parent,ND
Καλογήρου Χριστιάνα,Καλογήρου Δούκας,parent,ND
Καλογιάννης Σταύρος,Καλογιάννης Ελευθέριος,parent,ND
Καλογιάννης Ελευθέριος,Καλογιάννης Σταύρος,parent,ND
Κανελλοπούλου Κρινιώ,Κανελλόπουλος Αθανάσιος,parent,ND
Καραγκούνης Κωνσταντίνος,Καραγκούνης Ανδρέας,parent,ND
Καστανίδης Χαράλαμπος,Καστανίδης Γεώργιος,parent,PASOK
Κατριβάνου Βασιλική,Κατριβάνος Ηλίας,parent,SYRIZA
Κατσίγιαννης Αθανάσιος,Κατσίγιαννης Χρήστος,parent,ND
Κεδίκογλου Συμεών,Κεδίκογλου Βασίλειος,parent,PASOK
Κεφαλίδου Χαρούλα,Κεφαλίδης Δημήτριος,parent,PASOK
Κεφαλογιάννη Όλγα,Κεφαλογιάννης Ιωάννης,parent,ND
Κοντογιαννόπουλος Βασίλειος,Κοντογιαννόπουλος Νικόλαος ,parent,PASOK
Κωνσταντοπούλου Ζωή,Κωνσταντόπουλος Νικόλαος,parent,SYRIZA
Λιβανός Σπυρίδωνας-Παναγιώτης,Λιβανός Διονύσιος,parent,ND
Λυκουρέζος   Αλέξανδρος,Λυκουρέζος Παυσανίας,parent,ND
Μακρή Ζωή,Μακρής Μιχαήλ,parent,ND
Αρσένης Κρίτων-Ηλίας,Μαρία Αρσένη,parent,MERA25
Ματζαπετάκης Στυλιανός,Ματζαπετάκης Εμμανουήλ,parent,PASOK
Μεϊμαράκης Ευάγγελος-Βασίλειος,Μειμαράκης Ιωάννης,parent,ND
Μητσοτάκης Κωνσταντίνος,Μητσοτάκης Κυριάκος,parent,ND
Μητσοτάκης Κυριάκος,Μητσοτάκης Κωνσταντίνος,parent,ND
Μπακογιάννη Θεοδώρα(Ντόρα),Μητσοτάκης Κωνσταντίνος,parent,ND
Μπασιάκος Ευάγγελος,Μπασιάκος Αριστείδης,parent,ND
